"metric","rmse","mae","r2","offline","online"
"cosine",1.0377051223697,0.818010800431018,0.148155413688929,24.2975120544434,0.45996527671814
"cosine",1.01840997382629,0.80341911782884,0.179548683763665,23.5377731323242,0.466965317726135
"cosine",1.01373759757746,0.800185329619942,0.187067448652614,23.3490068912506,0.453243565559387
"cosine",1.01180260940205,0.799569581690191,0.190165847374488,22.5689308643341,0.470694613456726
"cosine",1.01115234874924,0.799609380385957,0.191204893560126,22.8393058776855,0.476185703277588
"cosine",1.01108796889744,0.800166430392651,0.191309515818472,23.1772489547729,0.47004337310791
"cosine",1.01112286751164,0.800657346403509,0.191254911139547,22.7498009204865,0.503880882263184
"cosine",1.01180988863461,0.801538543863572,0.190157688843139,23.054221868515,0.490012979507446
"cosine",1.01225513512133,0.802280876102065,0.18944569397073,23.2509150505066,0.483705925941467
"cosine",1.01271223793158,0.802919868273037,0.188713207737356,22.8641109466553,0.486434984207153
"cosine",1.0132422908488,0.803616668355388,0.187863710818139,0,0.48959801197052
"cosine",1.01373004936809,0.804330545677906,0.187081377382917,0,0.495675706863403
"cosine",1.01410259246662,0.804976759939597,0.186484279786317,0,0.510283374786377
"cosine",1.01466221389918,0.805704840759365,0.185585925527886,0,0.489301323890686
"cosine",1.01516642914242,0.806355251542545,0.184776338384967,0,0.508916783332825
"cosine",1.01562986815125,0.807002869958337,0.184031796094744,0,0.499492621421814
"cosine",1.01605496338232,0.807669269487053,0.183348300258464,0,0.505715799331665
"cosine",1.01646068113879,0.808302373164853,0.18269602607244,0,0.505897903442383
"cosine",1.01684157750823,0.808960907393685,0.182083605376157,0,0.505644083023071
"cosine",1.01723464121402,0.809565952225076,0.181451324591175,0,0.513026332855225
"cosine",1.01753241982165,0.810047783344433,0.180972428855121,0,0.522030711174011
"cosine",1.01780272295997,0.81044404728056,0.180537516421574,0,0.508354067802429
"cosine",1.01805462771183,0.810854107773487,0.180132006405034,0,0.523610997200012
"cosine",1.01827244218254,0.81122643937694,0.179781011292812,0,0.516919112205505
"cosine",1.01850274620059,0.811617234394955,0.17941011819839,0,0.514766383171082
"cosine",1.01869872751113,0.811947437361469,0.179094304362111,0,0.511022019386292
"cosine",1.01888067111441,0.812196938732348,0.178800894197506,0,0.52771167755127
"cosine",1.01898576335188,0.812358090569973,0.178631525948398,0,0.522773385047913
"cosine",1.01910260369713,0.812518359991924,0.178443358677053,0,0.531253361701965
"cosine",1.01919033591373,0.812669466991738,0.178301825283857,0,0.525047540664673
"acosine",0.969411578994895,0.763406439286001,0.256591192840923,25.4807541370392,0.442094111442566
"acosine",0.953969084447526,0.752278615364276,0.280091669725136,25.4182250499725,0.453157591819763
"acosine",0.953655618853634,0.752427039035073,0.28056942785381,25.5299069881439,0.446453714370728
"acosine",0.95626159538543,0.755257279005012,0.276635851047224,25.9178581237793,0.458270406723022
"acosine",0.959684352972155,0.758517615449407,0.271450561741593,26.2240738868713,0.471286511421204
"acosine",0.962905043027212,0.761744561223212,0.26655366765082,26.100949048996,0.474636816978455
"acosine",0.966052509402923,0.764667001426193,0.261750420174372,26.0573542118073,0.47299952507019
"acosine",0.96890456019507,0.767504684200263,0.257385371157085,26.0392870903015,0.484853410720825
"acosine",0.971743404073952,0.7702360640778,0.253026798423656,26.1311638355255,0.474043822288513
"acosine",0.974321907782227,0.772657649483376,0.249057221280194,26.0408580303192,0.483748126029968
"acosine",0.976664651643733,0.774906731496087,0.245441337574481,0,0.490611696243286
"acosine",0.978744225551657,0.77693225506515,0.242224983692659,0,0.495170927047729
"acosine",0.980588814238589,0.778671190288199,0.239365831423475,0,0.489885663986206
