"gow","hl","kproto","mk","msk","famd","mrk"
141.953821453377,2416.25309433451,6863.42388326108,1391.01119686955,2013.10827149914,2803.81412863754,52.6768497081138
94.0769001981032,1579.3593233759,5956.9814468301,713.610781749527,1222.91930194233,1728.87385950137,52.2924391611577
70.6371681011702,1132.89764278076,5468.62950491957,488.919118065052,831.059001171562,2275.62880483997,52.235733118149
56.5129825583151,865.703144276995,5167.02421512336,378.810052658621,622.718297907252,2313.9041824384,51.4734402896805
47.0111092336167,717.939692980905,4936.57701814309,306.53177861978,535.011398063652,2283.70454203049,50.6566955787801
40.3310148843518,616.432192412045,4759.11887846544,242.378184955369,458.76145074986,2232.91804462678,49.5546652857655
35.3151991235462,552.426140156187,4621.41116189161,220.633567146695,399.545137812101,2178.96280003077,49.2673551289805
31.364523165194,483.359753992059,4507.40968500065,183.647418262964,336.830570994468,2129.69617059488,48.9364269706513
28.2438554111551,432.453184352658,4408.42325513815,165.207091503096,315.687727498945,2088.87117514522,48.0858386953185
25.7335610985882,392.231818863657,4312.96777542664,146.243479318313,280.504497834501,2051.77906951398,47.9752829626973
23.8125393061201,365.271768718281,4252.5497343026,136.386314103934,262.357447477769,2010.81244900997,46.8049392799155
21.9324812927673,339.500482178886,4181.46625926122,124.114198104578,224.639435218268,1968.99044422422,47.4998973301221
20.3293330903258,314.103961134912,4123.18730314673,114.80913324247,227.245841973903,1927.64271180774,47.4767719256118
19.1112805918122,294.148730416015,4073.73946024047,108.979583395654,195.468452391838,1889.74797703129,47.1170996391605
