"x"
86299.7429434898
78528.3095846597
73692.6463969384
70209.6897153492
67513.6259288534
65340.318177579
63525.34017778
61964.310785899
60582.7599616162
59347.5129664967
58184.8171737041
57165.7437084418
56172.463867723
55265.2793516676
