"gowpam","hlpam","kprototypes","mixed kmeans","ms kmeans","famd","mr kmeans","kamila"
0.0715605033692544,1.17831529347052,917.541788655159,341.116314250871,1172.36588096861,4696.82719885439,10293.9738312258,-3016.08569382173
0.0620025232732135,1.02528355689888,782.158106041353,216.017601839501,990.926823690665,4027.40050212605,9815.12160471073,-2040.02615969376
0.0556496310795726,0.951313740624543,719.218658087435,164.261114627124,911.23764082859,3481.94356817328,9397.12419238171,-1266.90894962523
0.0499610890592495,0.868783185710674,626.546298122074,134.990138917671,831.241885654209,2864.52776088975,8980.55866818647,-910.743457336194
0.0443899085837396,0.826811652164899,581.743384845754,121.043194780768,771.809821749876,2795.12764304627,8533.00304731771,-734.106866806096
0.0392378764825627,0.791024892613614,551.494922536424,105.844767831851,730.731061157089,2352.81252518002,7995.30321609588,-559.504898779605
0.0361124267712861,0.759591788316351,519.898566578456,99.8998749063596,782.291348713875,2288.24124019908,7505.53629612296,-582.720235628541
0.0331979484084238,0.735664160382673,479.721198916945,80.874953061534,749.008543985148,2023.924255601,7022.89992119439,-502.92311192479
0.0305035229420863,0.71221712219516,449.623804245936,70.5466554601809,717.524096562421,1975.5577040727,6475.2827154669,-427.827475220747
0.027870572570651,0.692142832258488,484.371938283952,78.2796032092473,712.947694201598,1769.13752004513,6022.28396351306,-434.021515027464
0.025542203351231,0.671390532329139,443.37225350541,64.9423785383921,660.824718495793,1254.65747112983,5503.84483929964,-465.661472947582
0.0236350782480157,0.653431220062136,427.781700855936,61.3458078360495,664.892073442067,1204.28715309992,5005.00828520615,-336.577884710172
0.0217782509497204,0.635090020779994,430.731149425221,62.4505472701896,647.638501782901,1047.85104708529,4525.84781876759,-336.687782779624
0.0200779057111761,0.616211781532637,405.236486344035,59.2105806070893,613.234507183041,918.437291025779,4031.06469507042,-402.32897172758
0.0184027093750917,0.600835627529812,0,0,0,989.460085812615,3730.53161232773,0
0.0169098425818422,0.586081141202287,0,0,0,827.026192687828,3354.50337750856,0
0.0155008054634594,0.573333332510024,0,0,0,704.297799372184,2864.20981655762,0
0.0142782893716547,0.558037484574754,0,0,0,657.361026179005,2321.3851023041,0
0.013087209407925,0.544984613746235,0,0,0,679.178593820997,1948.02894771811,0
0.0120721717614152,0.532040798367861,0,0,0,722.422667555558,1380.22167000405,0
0.0111109248229447,0.519402474317634,0,0,0,555.260204252633,1374.68047062272,0
0.0102125501406243,0.507484776933007,0,0,0,547.028571384341,897.675342744275,0
0.00932395558703826,0.496399425221028,0,0,0,522.743047125886,779.346539530323,0
0.00871199896051204,0.48667251575386,0,0,0,482.08829899505,709.534802268782,0
