"","x"
"1",28850.1578731529
"2",17397.5416074179
"3",14373.6593244667
"4",10494.7142944873
"5",8088.23333754015
"6",7291.24365469264
"7",6372.20683557107
"8",5479.84949529044
"9",4994.74304426021
"10",4642.12524616645
"11",4295.50062906665
"12",3673.47447056906
"13",3406.06866401798
"14",3263.22986886306
