"","rmse","mae","r2","offline","online"
"1",0.999022840013846,0.783097630705115,0.24842549773198,8.08800601959229,1.69808657169342
"2",0.989481343582735,0.77512703213868,0.255386242570681,7.57056903839111,2.10870268344879
"3",0.988718533097528,0.774520725716388,0.255377821866178,8.59375882148743,2.46195156574249
"4",0.98940797244656,0.775231122705015,0.254223497122586,9.63996887207031,2.75348899364471
"5",0.989999912117834,0.77584071765791,0.253353080457957,10.2582318782806,2.83485324382782
"6",0.990377496271449,0.776206248897226,0.252827784044658,10.3246541023254,2.91636524200439
"7",0.990583301770156,0.776384618599681,0.252554147885529,9.06675004959106,2.96838166713715
"8",0.990701708026016,0.776483487611092,0.252401923937896,10.0693790912628,3.09781904220581
"9",0.99076801243505,0.776551348643842,0.252315409290747,9.41597008705139,3.11949338912964
"10",0.990798639822638,0.77658156804042,0.252275554364395,10.8215107917786,3.03969750404358
