"predictor","rmse","mae","r2","offline","online"
"weighted sum",1.08176637453527,0.85310796535873,0.138207151853014,22.6065049171448,0.471102261543274
"weighted sum",1.05552851029364,0.833009165938877,0.156170681444421,24.0701410770416,0.470172929763794
"weighted sum",1.04590634090707,0.825651332229678,0.163906769122798,19.3375968933105,0.471122097969055
"weighted sum",1.040634616931,0.821505380146863,0.168403694631161,19.1357970237732,0.47580578327179
"weighted sum",1.03725620373044,0.81893346469096,0.171450952386068,17.6799991130829,0.527633714675903
"weighted sum",1.03463917555461,0.81687047346902,0.173976560739364,18.5534040927887,0.489742112159729
"weighted sum",1.03267862962366,0.81531396544136,0.175912919864952,18.3915197849274,0.494343423843384
"weighted sum",1.03134430568464,0.814275406896476,0.177223085120216,19.3365180492401,0.510231423377991
"weighted sum",1.03031107511813,0.813438969688007,0.178238933529054,19.2082347869873,0.510424375534058
"weighted sum",1.02953351866695,0.812795916799638,0.17900345767552,17.8631060123444,0.504365468025208
"weighted sum",1.02885100122901,0.812175785836157,0.17969854128467,0,0.513987636566162
"weighted sum",1.02834283275496,0.811732006549121,0.180206660600994,0,0.507963848114014
"weighted sum",1.02794375672292,0.811353558920697,0.180611260345896,0,0.503448820114136
"weighted sum",1.02759287801039,0.811047775788139,0.180971887086704,0,0.5083820104599
"weighted sum",1.0273528248587,0.810851702014696,0.181210636521125,0,0.509621071815491
"weighted sum",1.02715158243583,0.810695656624473,0.181410187882115,0,0.518049502372742
"weighted sum",1.02698072747207,0.810575976193863,0.181582904923705,0,0.50837562084198
"weighted sum",1.02685776029793,0.810494393081471,0.181701780428772,0,0.532342147827148
"weighted sum",1.02674662982788,0.810421977726921,0.181811267011014,0,0.537199711799622
"weighted sum",1.02665780095903,0.810363409009097,0.181898851669206,0,0.553989267349243
"weighted sum",1.02658464641982,0.810313860436966,0.181970997919651,0,0.537469267845154
"weighted sum",1.02653059398705,0.810286586535352,0.182020978660919,0,0.538291883468628
"weighted sum",1.02648949011507,0.810265118967061,0.182058481451324,0,0.535692262649536
"weighted sum",1.02645557338224,0.810241674104354,0.182089854625346,0,0.534311676025391
"weighted sum",1.02642813181559,0.810221780951951,0.182116246633219,0,0.53610737323761
"weighted sum",1.02640787658614,0.810205260354279,0.182136495719042,0,0.545984959602356
"weighted sum",1.02639330235581,0.810193981762917,0.182151052866554,0,0.524148631095886
"weighted sum",1.02638628310504,0.810189467949519,0.182157160277937,0,0.543484354019165
"weighted sum",1.02638290897851,0.8101879401606,0.182159907667516,0,0.553180027008057
"weighted sum",1.02637973999664,0.810186657628041,0.182162782119786,0,0.608371424674988
"mean centred",1.12519322106388,0.893985368220551,0.0966587773430229,18.0052828788757,1.51422250270843
"mean centred",1.10358142553494,0.876213498479988,0.108603485478325,19.4973030090332,1.98779330253601
"mean centred",1.09576221013518,0.870035685722707,0.113671984734794,18.5963311195374,2.38546938896179
"mean centred",1.0915074720022,0.866632199606475,0.116584896180757,18.393119096756,2.73621873855591
"mean centred",1.0890315002521,0.864677541991232,0.118359797435506,17.3992168903351,3.07137477397919
"mean centred",1.08707595957203,0.863012467696229,0.119887172408698,18.4377930164337,3.27637376785278
"mean centred",1.08561105904379,0.861783323133646,0.121054961582239,18.457946062088,3.49575912952423
"mean centred",1.08464857962751,0.860967240710381,0.121787725870343,19.1685590744019,3.66835198402405
"mean centred",1.0838957904364,0.860259955768534,0.122345423648957,19.1170558929443,3.84309592247009
"mean centred",1.0833046167503,0.859730377975465,0.122792524191185,18.0657920837402,3.93896758556366
"mean centred",1.08277894392128,0.859248923221816,0.123205062120125,0,4.07916407585144
"mean centred",1.08239000306595,0.858938046937501,0.123493987677939,0,4.14696199893951
"mean centred",1.08207653267555,0.858685234123918,0.123726360806355,0,4.25215091705322
"mean centred",1.08178421995145,0.858433197427505,0.123947055827695,0,4.34183948040009
"mean centred",1.08158984656642,0.858281932534074,0.124085872676406,0,4.43251419067383
"mean centred",1.08142176976105,0.858155622602482,0.124198897256703,0,4.61194760799408
"mean centred",1.08127434986525,0.858054497394515,0.124306559009339,0,4.64601008892059
"mean centred",1.08117681051923,0.857977740458624,0.124368584487992,0,4.66309239864349
"mean centred",1.0810860586261,0.85791556109026,0.124427864493576,0,4.70626063346863
"mean centred",1.08101546020854,0.857862428684099,0.124473175740329,0,4.75947749614716
"mean centred",1.08096031266401,0.857824144999665,0.124506691166617,0,4.75441653728485
"mean centred",1.08091061130621,0.857790846728745,0.124535582872081,0,4.79964561462402
"mean centred",1.08087762264131,0.857772843112062,0.124553250111293,0,4.8273295879364
