"metric","rmse","mae","r2","offline","online"
"cosine",1.04157770526233,0.819925696747583,0.179431394829716,22.4970500469208,0.427258610725403
"cosine",1.02321250712214,0.806200065580274,0.196723901738113,21.578843832016,0.434645795822144
"cosine",1.01830380384894,0.802826473926033,0.199704026083276,21.6973280906677,0.43532919883728
"cosine",1.01625489672611,0.801809589501422,0.199790758489399,21.7691349983215,0.440661931037903
"cosine",1.01547664351389,0.801688612493428,0.198842007106204,21.6020321846008,0.450765371322632
"cosine",1.01524923259653,0.802282848948545,0.197457321850463,21.6794700622559,0.457683825492859
"cosine",1.01519820815447,0.802659191293017,0.196199884067901,21.4090638160706,0.455041337013245
"cosine",1.01562845663082,0.803314574851942,0.194512189400426,21.7429800033569,0.456465816497803
"cosine",1.01617445290859,0.804068474467995,0.192813858331946,21.6181399822235,0.466828107833862
"cosine",1.01662351215114,0.804787168271403,0.19137338200185,21.5722699165344,0.466673302650452
"cosine",1.01708022617891,0.805450670051643,0.190009854101821,0,0.45960099697113
"cosine",1.01751577977789,0.806182330968538,0.188826192096894,0,0.472369623184204
"cosine",1.01806615979965,0.806948665314586,0.187549598114908,0,0.473575139045715
"cosine",1.01860932369484,0.807659904126047,0.186329099888286,0,0.477078986167908
"cosine",1.0190896569788,0.8082754125167,0.185253849076536,0,0.474462580680847
"cosine",1.01953086928107,0.808966520740232,0.184277565036463,0,0.476467347145081
"cosine",1.01991862833233,0.809572319428863,0.183439108989668,0,0.480665802955627
"cosine",1.02032908719201,0.810188230139976,0.18259883484816,0,0.478237438201904
"cosine",1.02078754042855,0.810836173892662,0.181711159142139,0,0.485094094276428
"cosine",1.02112321463386,0.811419019037681,0.181037305225964,0,0.481581974029541
"cosine",1.02137749899134,0.811850802972089,0.180503890276496,0,0.482441473007202
"cosine",1.02158922379185,0.812245685969622,0.180048397663077,0,0.483874702453613
"cosine",1.0218399042062,0.812634064852088,0.179559601760966,0,0.485957360267639
"cosine",1.02206852846275,0.813042522861789,0.179109395948352,0,0.502450203895569
"cosine",1.02229014776855,0.813406803263336,0.178673175845665,0,0.491766285896301
"cosine",1.02249782563543,0.81372399165685,0.178279719435744,0,0.494866251945496
"cosine",1.02265103430825,0.813972781315002,0.177985709790747,0,0.494399213790894
"cosine",1.02276587822987,0.814152817809818,0.1777704387107,0,0.491771340370178
"cosine",1.02288358834729,0.81431117349758,0.177557555926529,0,0.496176934242249
"cosine",1.02297462815556,0.814465549675558,0.177387208382456,0,0.503952264785767
"acosine",0.973919868641923,0.76552204793808,0.260362158130214,23.6978249549866,0.416746544837952
"acosine",0.958845021137519,0.754802595226669,0.275911047505563,23.7683951854706,0.423435258865356
"acosine",0.958296573795773,0.754690133448351,0.275827856010864,24.000696182251,0.426405668258667
"acosine",0.960873069786354,0.757373343085546,0.271718185755673,23.5376679897308,0.431346225738525
"acosine",0.963981846381502,0.760406870749942,0.266940167404825,23.7727708816528,0.444659519195557
"acosine",0.967360196222675,0.763766336875622,0.261763540498346,23.842924118042,0.442392683029175
"acosine",0.970405386169363,0.766850859216077,0.257080227849707,23.9498329162598,0.442758750915527
