"","x"
"1",23502.7186286898
"2",15628.8932093962
"3",11755.9892329843
"4",9382.97211431154
"5",7849.04738675719
"6",6717.98008938469
"7",5909.34389891716
"8",5242.39776494146
"9",4719.70538305565
"10",4293.33855595673
"11",3912.45884789404
"12",3598.38068359728
"13",3346.0857235155
"14",3132.27168421145
