"metric","rmse","mae","r2","offline","online"
"cosine",1.08776973243849,0.856389541777344,0.124040508110273,37.2196760177612,0.735770106315613
"cosine",1.04368236649641,0.821570835335748,0.159180415089784,37.4633169174194,0.723406100273132
"cosine",1.02974943614141,0.810133056411021,0.173575153494238,37.3962779045105,0.735618996620178
"cosine",1.02436975144244,0.806012642683313,0.179653956775843,37.3400869369507,0.741243839263916
"cosine",1.02219216368484,0.804626604140691,0.18208168755971,47.9715371131897,0.748624968528748
"cosine",1.02174001631494,0.805043135711096,0.182333607698508,52.0042319297791,0.755606913566589
"cosine",1.02192318211812,0.805850976631255,0.181607428474039,52.1143600940704,0.749389219284058
"cosine",1.02263185002142,0.807058446168101,0.180079908142547,36.9412090778351,0.757776284217834
"cosine",1.02361250132459,0.808613433097271,0.178053722555553,37.2711079120636,0.762771606445312
"cosine",1.02488035575483,0.810491585003063,0.175537496543983,37.3163352012634,0.78349232673645
"cosine",1.02600205114844,0.812378867351701,0.173246318918166,0,0.787427973747253
"cosine",1.02725694314062,0.814279947413109,0.170790860967785,0,0.789714431762695
"cosine",1.02851781249627,0.816150936263257,0.168374089622473,0,0.807168555259705
"cosine",1.02977518280733,0.817995821919334,0.166006818009168,0,0.804928016662598
"cosine",1.03099110497104,0.819716778284131,0.163765168956741,0,0.792390918731689
"cosine",1.03206894471188,0.821324745146515,0.161758076919911,0,0.798982453346252
"cosine",1.03304369315879,0.822779435708706,0.159939205331157,0,0.77960364818573
"cosine",1.03413276645168,0.824246952750329,0.157989805873291,0,0.798420596122742
"cosine",1.03508155765368,0.825466682814146,0.15630377228229,0,0.796996283531189
"cosine",1.03592073545513,0.826536717216338,0.154803690812144,0,0.802484965324402
"cosine",1.03677259250301,0.827602791456301,0.153300706787186,0,0.853567743301392
"cosine",1.03754839685041,0.828593112607914,0.151951867968446,0,0.819302177429199
"cosine",1.03833263683175,0.829495135714395,0.150605387711116,0,0.837133073806763
"cosine",1.03905969124536,0.830348066300751,0.149357394029285,0,0.829562187194824
"cosine",1.03972111277634,0.831020227159904,0.148245419893437,0,0.80620653629303
"cosine",1.04026069213261,0.831572967675972,0.147346183706757,0,0.831625819206238
"cosine",1.04082285877337,0.832076872701312,0.146429666349586,0,0.825667476654053
"cosine",1.04130433905631,0.832519271480683,0.145647735138784,0,0.857723736763001
