"gow","hl","kproto","mk","msk","famd","mrk","kam"
0.314272095290123,1.17831529347052,1715.46848712876,341.116314250871,585.69155220785,589.484462547511,10293.9738312258,-2997.45843090668
0.273696669773022,1.02528355689888,1514.43016115256,216.017601839501,493.498134639438,1082.28668834912,9811.19928447382,-2044.7545678855
0.246671379757275,0.951313740624543,1287.8909198134,164.261114627124,431.765746132593,1582.8393720161,9370.20896489905,-1277.19599311157
0.224455584476793,0.868783185710674,1185.90685078582,134.990138917671,379.663873623353,2123.29911667193,8985.83584452753,-926.172007305321
0.20460704607046,0.826811652164899,1084.51655409175,121.043194780768,346.275301882339,2649.50106147752,8523.46601210262,-772.118996328489
0.185958203455552,0.791024892613614,1005.96075686353,105.844767831851,328.765810227736,3434.44408143142,8036.2734105704,-631.767597517303
0.172209903917221,0.759591788316351,1018.87722804644,99.8998749063596,312.344248460793,3576.82370189963,7534.61080391848,-512.781829016503
0.159045384920252,0.735664160382673,1007.15600820759,80.874953061534,300.199217265249,3921.79591359299,6998.52331619501,-480.038507870604
0.14911040414752,0.71221712219516,960.033714194956,70.5466554601809,284.929529381037,4164.93586939132,6526.11323773078,-460.440091114504
0.13975920391615,0.692142832258488,899.660328210893,78.2796032092473,270.412050141197,4430.8533874745,6006.37698705136,-432.934134095393
0.130450849963045,0.671390532329139,851.389511456468,64.9423785383921,266.642188916293,4387.42828977996,5492.07963676219,-418.166911249425
0.122133316194822,0.653431220062136,825.126550010472,61.3458078360495,250.680426757275,4371.78478275981,5018.79718789177,-411.842085026085
0.113489079554828,0.635090020779994,789.652801607775,62.4505472701896,240.257605170672,4821.61000564425,4517.61564008987,-346.900345447373
0.105471469734461,0.616211781532637,779.35469547011,59.2105806070893,231.403326767013,5318.54136751932,4025.20625263663,-344.646121524801
