"beta","rmse","mae","r2","offline","online"
2.9,1.07933830270909,0.840745569347407,0.152939024102986,32.0039491653442,0.479094362258911
2.9,1.05556758156235,0.822097334097212,0.169238435149906,28.535404920578,0.488512063026428
2.9,1.04686438831555,0.81531059474771,0.176067712587238,28.3393938541412,0.491616272926331
2.9,1.04258072063608,0.812098134245933,0.179421382153371,28.9340059757233,0.511386156082153
2.9,1.03985087509208,0.810056395735857,0.181658738792036,25.3532829284668,0.506423878669739
2.9,1.03803030909616,0.808659247310078,0.183098143674888,29.1310839653015,0.504647207260132
2.9,1.03670442994594,0.807765725577349,0.184188594019353,28.0306370258331,0.522508573532104
2.9,1.0356850256579,0.807028311819058,0.185021588340479,25.9045729637146,0.514083075523377
2.9,1.03484717306429,0.806411952368395,0.185776503909332,31.0532810688019,0.516685009002686
2.9,1.03401848292099,0.80579093106108,0.186588157312388,25.145229101181,0.534085750579834
2.9,1.03338476843837,0.805217799555038,0.187201644775354,0,0.531294751167297
2.9,1.03286410799002,0.804758592730306,0.187716774252132,0,0.532852625846863
2.9,1.03240504116745,0.804328069642619,0.188177229005055,0,0.543568992614746
2.9,1.0320369358424,0.803990040015906,0.188545248291978,0,0.567096066474915
2.9,1.03170957977601,0.803699055820344,0.188889773844698,0,0.552731728553772
2.9,1.03143003621457,0.803441216945525,0.189187524077566,0,0.553992009162903
2.9,1.03121161606315,0.803250572286342,0.189418710480749,0,0.556127405166626
2.9,1.03103286517444,0.803084619910547,0.189608327527343,0,0.54793221950531
2.9,1.03087738972005,0.802937476242832,0.189774041879096,0,0.557640886306763
2.9,1.03075370380989,0.802830218610923,0.189900101419921,0,0.55050253868103
2.9,1.0306509405765,0.802739991184265,0.190002861628694,0,0.556922364234924
2.9,1.03056560226453,0.802672501798619,0.190089625247347,0,0.552734804153442
2.9,1.03049942148218,0.802613761151699,0.190159772053743,0,0.554450798034668
2.9,1.03045154685613,0.802577234424583,0.190207942418064,0,0.555854511260986
2.9,1.03040536870849,0.802535736183127,0.190252456075102,0,0.574827432632446
2.9,1.03036226041208,0.802498069966286,0.190296794856792,0,0.554799103736877
2.9,1.03034097942989,0.802471221526077,0.190315175924726,0,0.548520612716675
2.9,1.03031865843235,0.802447891176015,0.190335513803808,0,0.553467535972595
2.9,1.03030103314027,0.802432396900645,0.190352075008206,0,0.560020971298218
2.9,1.03029400313684,0.80242708436208,0.190357071081069,0,0.56604015827179
3,1.08348135157945,0.847871506751138,0.141433043868204,24.0956721305847,0.460289597511292
3,1.05809710258116,0.827663999338764,0.158861952214154,24.7589609622955,0.460236096382141
3,1.04914952007712,0.820634095885812,0.165642229052703,25.3060989379883,0.470828747749329
3,1.0444706611167,0.817156862409326,0.169439297848087,23.6962139606476,0.480021810531616
3,1.04157467821813,0.81498529464515,0.171868630781759,26.047415971756,0.488427042961121
3,1.03942957009064,0.813429410187989,0.173793016243919,22.4104838371277,0.491996359825134
