"predictor","rmse","mae","r2","offline","online"
"weighted sum",1.02922291931903,0.816587000941804,0.190440704943809,43.2303268909454,0.580651807785034
"weighted sum",1.01212267814715,0.804185805968115,0.203767213211819,37.8398399353027,0.548533391952515
"weighted sum",1.00797472452719,0.801603376559832,0.206578593054163,36.4082329273224,0.589800119400024
"weighted sum",1.00537963509684,0.800040957508937,0.208198937660726,35.1003181934357,0.588776516914368
"weighted sum",1.00411910953734,0.799435030352621,0.20908270234844,37.0137360095978,0.608096885681152
"weighted sum",1.00345713624258,0.798983571909856,0.209405244257143,38.1009798049927,0.608208680152893
"weighted sum",1.00328825729449,0.799202544960865,0.209655024595307,45.4089441299438,0.611339402198791
"weighted sum",1.00304416408078,0.799064652483113,0.209809538892396,42.4635601043701,0.621855688095093
"weighted sum",1.0026188852883,0.798848521909249,0.210169174551767,45.7746689319611,0.615846633911133
"weighted sum",1.00234887437281,0.798520254460501,0.210329695435749,46.0317950248718,0.616068506240845
"weighted sum",1.00222375684898,0.798446313232687,0.210099617700386,0,0.615486264228821
"weighted sum",1.00202866405847,0.798360836504605,0.210221510517936,0,0.631756782531738
"weighted sum",1.00214051008811,0.798468428350039,0.210428905437586,0,0.633799576759338
"weighted sum",1.00218796185465,0.798488956184221,0.211020068721916,0,0.62130081653595
"weighted sum",1.00233915688398,0.798482756727808,0.211209372044215,0,0.62738630771637
"weighted sum",1.00187975034044,0.798229091797851,0.212129872520646,0,0.628241205215454
"weighted sum",1.00215374833578,0.798408990564711,0.212144399437802,0,0.603739953041077
"weighted sum",1.00234779635962,0.79850653527611,0.212125023343865,0,0.646819162368774
"weighted sum",1.00274819296862,0.798832428055947,0.212083228274092,0,0.628796911239624
"weighted sum",1.00270145748167,0.798611172339819,0.211944615011914,0,0.63258581161499
"weighted sum",1.00289378589882,0.798812050075693,0.211719753187982,0,0.630899453163147
"weighted sum",1.00318491386417,0.799006945205915,0.211546715836542,0,0.607323908805847
"weighted sum",1.00344191321495,0.799120561430574,0.211210293023105,0,0.623457527160645
"weighted sum",1.00365723586788,0.799267530349285,0.210792793144627,0,0.628409314155579
"weighted sum",1.0039712363375,0.799565496755533,0.210584544151449,0,0.637097811698914
"weighted sum",1.00420074237107,0.799685166718112,0.210391379958553,0,0.647254419326782
"weighted sum",1.00414798659505,0.799650474419348,0.210573840601941,0,0.606388235092163
"weighted sum",1.00413371459251,0.799657376429049,0.21055683460687,0,0.624770474433899
"weighted sum",1.00410946902502,0.799668133392313,0.210469288090812,0,0.632563877105713
"weighted sum",1.0042969367867,0.799825582008409,0.210369250901884,0,0.648063850402832
"mean centred",1.02835161469419,0.815951958549421,0.199547156941702,42.0338258743286,1.80314185619354
"mean centred",1.01166743647266,0.803491586421572,0.212952592851907,39.7088429927826,2.42411165237427
"mean centred",1.00736510535227,0.80031657418569,0.216264727291042,40.7086148262024,2.91996443271637
"mean centred",1.00475335506607,0.798394188579149,0.21808945128584,35.4650399684906,3.50495193004608
"mean centred",1.00342844248874,0.797385971944406,0.219189482166245,37.7696800231934,3.98555450439453
"mean centred",1.00228621870022,0.796396301112793,0.220193312262467,38.63676404953,4.26108818054199
"mean centred",1.00168123557318,0.796016126018389,0.221046547731778,36.0341069698334,4.53412661552429
"mean centred",1.00123108968793,0.795579406439844,0.221550813832917,34.8062229156494,4.76698830127716
"mean centred",1.00069246854538,0.795124776055572,0.222082232287071,35.5746960639954,5.06745092868805
"mean centred",1.00022593425679,0.794615088338556,0.222506119862482,39.5769169330597,5.33393959999084
