"rmse","mae","r2","offline","online"
0.957030308107713,0.747586382390938,0.288768286582736,20.0871999263763,0.882926416397095
0.947745712873233,0.7416794061641,0.291822698245961,18.0024998188019,1.10840308666229
0.94601981311916,0.740577907170943,0.288188096595708,17.4570519924164,1.25994200706482
0.946019964764978,0.740650999320883,0.284451349291834,17.4505858421326,1.35980339050293
0.945697225217288,0.740077747382896,0.281051895307431,17.5172281265259,1.41148641109467
0.945176661909618,0.739303754291184,0.274346939180942,17.37459897995,1.5035781621933
0.94560936184655,0.739299646014782,0.267671043974198,17.1886718273163,1.52750020027161
0.946049340103371,0.739514918573232,0.264034288916892,17.6875870227814,1.51700129508972
0.947578882168987,0.740472358481104,0.259358276014358,17.366133928299,1.52986450195312
0.948097849107338,0.740944057755998,0.255549707018208,17.7138559818268,1.53887379169464
0.947320778228972,0.740249788864188,0.251984327299411,0,1.59300048351288
0.945816625606915,0.739021047649955,0.24998209192859,0,1.54821383953094
0.944941008783953,0.738318845516999,0.249190657240378,0,1.55963001251221
0.944493356206657,0.737983302515091,0.249353369849206,0,1.59179306030273
0.944493357298113,0.737983303518802,0.2493533688283,0,1.5993415594101
0.944493357298113,0.737983303518802,0.2493533688283,0,1.57637948989868
0.944493357298113,0.737983303518802,0.2493533688283,0,1.61927289962769
0.944493357298113,0.737983303518802,0.2493533688283,0,1.58733384609222
0.944493357298113,0.737983303518802,0.2493533688283,0,1.57257745265961
0.944493357298113,0.737983303518802,0.2493533688283,0,1.56507496833801
0.944493357298113,0.737983303518802,0.2493533688283,0,1.60850977897644
0.944493357298113,0.737983303518802,0.2493533688283,0,1.56107037067413
0.944493357298113,0.737983303518802,0.2493533688283,0,1.59092562198639
0.944493357298113,0.737983303518802,0.2493533688283,0,1.61005609035492
0.944493357298113,0.737983303518802,0.2493533688283,0,1.58644111156464
0.944493357298113,0.737983303518802,0.2493533688283,0,1.58001725673676
0.944493357298113,0.737983303518802,0.2493533688283,0,1.62799432277679
0.944493357298113,0.737983303518802,0.2493533688283,0,1.64266865253448
0.944493357298113,0.737983303518802,0.2493533688283,0,1.54345147609711
0.944493357298113,0.737983303518802,0.2493533688283,0,1.59754841327667
