"gow","hl","kproto","mk","msk","famd","mrk","kam"
0.071393351275326,1.36742385963432,4575.24151403596,2006.66061207077,8034.34659160242,9519.96660651973,67764.6817277125,-16499.2428216015
0.0606531306914294,1.19357744531139,3750.2603531211,1228.73201369357,5956.75816665305,7236.15732325929,66528.9881554676,-8039.5740469116
0.0571787911117912,1.10303582182463,3427.76541867824,1119.0109684056,4826.68941031478,6102.56355586394,65409.58117799,-5619.824165485
0.0539737020559546,1.0654608336226,3153.27196508101,878.128534383455,4273.32443841933,4615.41410716809,64028.5871431357,-4458.19574193314
0.0510733594401539,1.03282600909152,3040.79395588125,694.267724162745,4145.76837112352,3859.31198297075,63830.8410712052,-4141.82672190672
0.0486637473356911,1.00232953298145,2846.59666452755,659.688737251259,3796.30095829397,3030.51962921339,63833.1375145085,-3382.93589820089
0.0463668360849059,0.980139662665462,2721.01621154641,591.618251323873,3654.88361627118,2883.23365501595,63602.8998175139,-3306.29216325661
0.0441272400624069,0.957078798149747,2634.22993771697,535.24196805473,3516.28605076799,2690.76850402347,63544.0871313105,-3047.85565956247
0.0420016592966246,0.937749227571686,2539.83835020058,501.640830070228,3250.08956914588,2361.60574469192,63474.1113517804,-2919.19119559704
0.0400784444959956,0.923943620916097,2519.55915943995,441.632453723082,3143.75454691534,1955.08298489978,63414.3623066384,-2494.51308317742
0.0386583096599364,0.911121429151751,2427.60902614139,428.248094086335,3101.28156327561,1711.83664010208,63321.667079423,-3150.39763684602
0.0372831042218965,0.88974477534993,2420.71940658405,400.761155280523,2932.2422149919,1614.80974764997,63327.0199645742,-2619.91602172731
0.0361091841370896,0.875375661345934,2344.8289298965,383.391496722942,2929.73950537604,1395.08173988403,63272.3497913879,-2209.91664002839
0.0352054041933975,0.862102446297921,2388.64272382643,411.280739650648,2852.79154688595,1313.21331296505,63275.2723460122,-2139.53561436998
0.0343365745711105,0.848888416849653,0,0,0,1419.75727795661,0,0
0.0335156914705696,0.836425727398918,0,0,0,1203.96360435929,0,0
0.0327651219688292,0.824289525577129,0,0,0,1115.36415824498,0,0
0.0320284581236509,0.814132890706571,0,0,0,1111.20616755735,0,0
0.031342121906312,0.803799482386402,0,0,0,1235.24213622022,0,0
0.0306729599291159,0.794939152722384,0,0,0,984.832506820978,0,0
0.0301423837559129,0.786020009712713,0,0,0,1058.32552071559,0,0
0.0297005386603178,0.780705172937332,0,0,0,997.140512497262,0,0
0.0292682179284002,0.773510645102449,0,0,0,876.733442016662,0,0
0.028884622094959,0.766085839550577,0,0,0,885.835460243911,0,0
